binomial,calculated_rarity,output_rarity,justification
"Crossocerus quadrimaculatus: iso. Richards: 1980","NF","NF",""
"Crossocerus dimidiatus: iso. Richards: 1980","NF","NF",""
"Crossocerus binotatus: iso. Richards: 1980","NS","NS",""
"Crossocerus wesmaeli: iso. Richards: 1980","NF","NF",""
"Crossocerus varus: iso. Bitsch & Leclercq: 1993","NF","NF",""
"Crossocerus tarsatus: iso. Richards: 1980","NF","NF",""
"Crossocerus palmipes: iso. Richards: 1980","NS","NS",""
"Crossocerus ovalis: iso. Richards: 1980","NF","NF",""
"Crossocerus exiguus: iso. Richards: 1980","NR","NR",""
"Crossocerus elongatulus: iso. Bitsch & Leclercq: 1993","NF","NF",""
"Crossocerus distinguendus: iso. de Beaumont: 1964","NF","NF",""
"Crossocerus walkeri: iso. Richards: 1980","NS","NS",""
"Crossocerus styrius: iso. Richards: 1980","NS","NS",""
"Crossocerus nigritus: iso. Richards: 1980","NF","NF",""
"Crossocerus megacephalus: iso. Bitsch & Leclercq: 1993","NF","NF",""
"Crossocerus cetratus: iso. Richards: 1980","NF","NF",""
"Crossocerus capitosus: iso. Richards: 1980","NF","NF",""
"Crossocerus annulipes: iso. Richards: 1980","NF","NF",""
"Crossocerus vagabundus: iso. Richards: 1980","NR","NR",""
"Crossocerus podagricus: iso. Richards: 1980","NF","NF",""
"Crossocerus congener: iso. de Beaumont: 1964","NR","NR",""
"Euodynerus quadrifasciatus: iso. Early: 2018","NR","NR",""
"Mimesa lutaria: iso. Bitsch et al: 2001","NF","NF",""
"Mimesa equestris: iso. Bitsch et al: 2001","NF","NF",""
"Mimesa bruxellensis: iso. Bitsch et al: 2001","NS","ID",""
"Mimesa bicolor: iso. Bitsch et al: 2001","NR","ID",""
"Macropis europaea: iso. Amiet et al: 2007","NF","NF",""
"Cleptes nitidulus: iso. Morgan: 1984","NS","NS",""
"Cleptes semiauratus: iso. Morgan: 1984","NS","",""
"Linepithema humile: iso. Bolton: 2019","NR","",""
"Entomognathus brevis: iso. Richards: 1980","NF","NF",""
